diagnosis,count,teşhis,description,department
conversion disorder,11,konversiyon bozukluğu,"Psikolojik stresin fiziksel belirtilerle kendini göstermesi ile karakterize olan bir durumdur. Genellikle kas güçsüzlüğü, felç ve his kaybı gibi belirtilerle kendini gösterebilir.",psikiyatri
hpv,11,hpv,"İnsan papilloma virüsü, ciltte ve mukozalarda siğillere neden olan bir virüstür. Genellikle ciltte lezyonlar, kaşıntı ve ağrı gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
foreign body in the vagina,11,vajina içinde yabancı cisim,"Vajina içinde bulunan yabancı cisimlerin neden olduğu, genellikle ağrı, akıntı ve enfeksiyon gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
uveitis,10,uveit,"Retina ile gözün beyaz kısmı arasındaki  gözü besleyen bir çok kan damarına sahip olan gözün orta tabakası olarak bilinen üveanın iltihaplandığı göz iltihabı türüdür. İltihaplanma genellikle bağışıklık sisteminiz bir enfeksiyonla savaşırken meydana gelir.",göz hastalıkları
hypercalcemia,10,kalsiyum yüksekliği,"Kandaki kalsiyum seviyesinin normalin üstünde olması anlamına gelmektedir. Normal kandaki toplam kalsiyum değeri 8.5-10.2 mg/dl aralığındadır. Vücutta kalsiyum metabolizmasını ayarlamadaki en önemli hormon paratiroid hormonudur.",endokrin
anemia due to malignancy,10,maligniteye bağlı anemi,"Kanserin neden olduğu anemi türüdür. Genellikle yorgunluk, solukluk ve nefes darlığı gibi belirtilerle kendini gösterebilir.",hematoloji
cystic fibrosis,10,kistik fibrozis,"Genetik bir hastalık olan kistik fibrozis, akciğerlerde ve sindirim sisteminde kalın, yapışkan mukus birikmesine neden olur. Genellikle öksürük, nefes darlığı ve sindirim sorunları gibi belirtilerle kendini gösterebilir.",pediatri
pregnancy,10,hamilelik,"Kadınların üreme sisteminin normal bir parçası olan hamilelik, genellikle adet döngüsünün sona ermesi, bulantı ve göğüs hassasiyeti gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
hammer toe,10,çekiç parmak,"Ayak parmaklarının normalden farklı çalışması ile karakterize olan bir durumdur. Genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
galactorrhea of unknown cause,10,bilinmeyen nedenli galaktore,"Kadınlarda süt üretiminin nedeni bilinmediği durumdur. Genellikle meme başında akıntı, göğüs hassasiyeti ve adet düzensizlikleri gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
factitious disorder,10,faktöryel bozukluk,"Kişinin kendini hasta gibi gösterdiği veya başkalarını hasta gibi gösterdiği psikiyatrik bir durumdur. Genellikle yalan söyleme, tedaviye uyumsuzluk ve hastalık belirtileri ile kendini gösterebilir.",psikiyatri
colorectal cancer,10,kolorektal kanser,"Kalın bağırsak ve rektumda meydana gelen, genellikle karın ağrısı, kilo kaybı ve dışkıda kan gibi belirtilerle kendini gösterebilir.",gastroenteroloji
pseudohypoparathyroidism,10,pseudohipoparatiroidizm,"Paratiroid hormonunun etkilerine karşı direnç ile karakterize olan bir durumdur. Genellikle kalsiyum düşüklüğü, fosfor yüksekliği ve kas zayıflığı gibi belirtilerle kendini gösterebilir.",endokrinoloji
chronic kidney disease,9,kronik böbrek hastalığı,"Böbreklerin uzun süreli hasar görmesi ile karakterize olan bir durumdur. Genellikle idrar değişiklikleri, şişlik ve yorgunluk gibi belirtilerle kendini gösterebilir.",dahiliye
acute fatty liver of pregnancy (aflp),9,gebelikte akut yağlı karaciğer hastalığı,"Hamilelik sırasında meydana gelen, genellikle karın ağrısı, bulantı ve sarılık gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
rhabdomyolysis,9,rabdomiyoliz,"Kas dokusunun parçalanması ile karakterize olan bir durumdur. Genellikle kas ağrısı, zayıflık ve idrarda kan gibi belirtilerle kendini gösterebilir.",dahiliye
cyst of the eyelid,9,göz kapağı kisti,"Göz kapağında meydana gelen, genellikle şişlik, ağrı ve kızarıklık gibi belirtilerle kendini gösterebilir.",göz hastalıkları
poisoning due to antihypertensives,9,antihipertansif zehirlenmesi,"Antihipertansif ilaçların aşırı dozda alınması ile karakterize olan bir durumdur. Genellikle baş dönmesi, yorgunluk ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",dahiliye
raynaud disease,9,raynaud hastalığı,"Kan damarlarının daralması ile karakterize olan bir durumdur. Genellikle soğuk havada parmaklarda beyazlaşma, morarma ve ağrı gibi belirtilerle kendini gösterebilir.",dahiliye
open wound of the arm,9,açık kol yarası,"Kol bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
birth trauma,9,doğum travması,"Doğum sırasında meydana gelen yaralanmalardır. Genellikle beyin has
pneumoconiosis,9,pnömokonyoz,"Uzun süreli toz maruziyeti sonucu meydana gelen, genellikle nefes darlığı, öksürük ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",göğüs hastalıkları
volvulus,9,volvulus,"Bağırsakların kendi etrafında dönmesi ile karakterize olan bir durumdur. Genellikle karın ağrısı, bulantı ve kusma gibi belirtilerle kendini gösterebilir.",gastroenteroloji
reactive arthritis,8,reaktif artrit,"Enfeksiyon sonrası meydana gelen eklem iltihabıdır. Genellikle eklem ağrısı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",romatoloji
pemphigus,8,pemfigus,"Ciltte kabarcıklar ve yaralar ile karakterize olan, genellikle ciltte lezyonlar ve ağrı gibi belirtilerle kendini gösterebilir.",dermatoloji
myoclonus,8,myoklonus,"Kasların istemsiz kasılması ile karakterize olan bir durumdur. Genellikle kas spazmları, titreme ve hareket bozuklukları gibi belirtilerle kendini gösterebilir.",nöroloji
lichen planus,8,liken planus,"Ciltte kaşıntılı, mor lezyonlar ile karakterize olan, genellikle ciltte lezyonlar ve kaşıntı gibi belirtilerle kendini gösterebilir.",dermatoloji
cryptococcosis,8,kriptokokoz,"Cryptococcus neoformans bakterisinin neden olduğu, genellikle öksürük, ateş ve nefes darlığı gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
aspergillosis,8,aspergilloz,"Aspergillus türü mantarların neden olduğu, genellikle öksürük, ateş ve nefes darlığı gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
lung contusion,8,akciğer kontüzyonu,"Akciğer dokusunun yaralanması ile karakterize olan bir durumdur. Genellikle nefes darlığı, göğüs ağrısı ve kanlı balgam gibi belirtilerle kendini gösterebilir.",göğüs hastalıkları
wernicke korsakoff syndrome,8,wernicke korsakoff sendromu,"Alkol bağımlılığı ile karakterize olan, genellikle bellek kaybı, denge sorunları ve göz hareketlerinde bozukluk gibi belirtilerle kendini gösterebilir.",nöroloji
heart contusion,8,kalp kontüzyonu,"Kalp dokusunun yaralanması ile karakterize olan bir durumdur. Genellikle göğüs ağrısı, nefes darlığı ve çarpıntı gibi belirtilerle kendini gösterebilir.",kardiyoloji
vesicoureteral reflux,8,vezikoüreteral reflü,"İdrarın mesaneden böbreklere geri akması ile karakterize olan bir durumdur. Genellikle idrar yolu enfeksiyonları, böbrek taşları ve bel ağrısı gibi belirtilerle kendini gösterebilir.",üroloji
hemarthrosis,8,hemartroz,"Eklem içinde kan birikmesi ile karakterize olan bir durumdur. Genellikle eklem ağrısı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
decubitus ulcer,8,dekübit ülseri,"Uzun süreli yatma sonucu meydana gelen cilt yaralarıdır. Genellikle ağrı, kızarıklık ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
toxoplasmosis,8,toksoplazmoz,"Toxoplasma gondii parazitinin neden olduğu, genellikle ateş, baş ağrısı ve kas ağrıları gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
poisoning due to opioids,8,opioid zehirlenmesi,"Opioid ilaçların aşırı dozda alınması ile karakterize olan bir durumdur. Genellikle nefes darlığı, bilinç kaybı ve yavaş kalp atışı gibi belirtilerle kendini gösterebilir.",acil tıp
central atherosclerosis,8,santral ateroskleroz,"Santral sinir sisteminde meydana gelen, genellikle baş ağrısı, denge kaybı ve görme bozuklukları gibi belirtilerle kendini gösterebilir.",dahiliye
spinocerebellar ataxia,8,spinokerebellar ataksi,"Beyin ve omurilikte meydana gelen, genellikle denge kaybı, koordinasyon bozuklukları ve konuşma güçlükleri gibi belirtilerle kendini gösterebilir.",nöroloji
placenta previa,7,plasenta previa,"Plasentanın rahim ağzına yakın yerleşmesi ile karakterize olan bir durumdur. Genellikle kanama, karın ağrısı ve fetal kalp atışlarında değişiklik gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
pulmonic valve disease,7,pulmoner kapak hastalığı,"Kalbin pulmoner kapakçığında meydana gelen, genellikle nefes darlığı, çarpıntı ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",kardiyoloji
malaria,7,sıtma,"Plasmodium parazitinin neden olduğu, genellikle ateş, titreme ve baş ağrısı gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
congenital malformation syndrome,7,doğuştan malformasyon sendromu,"Doğuştan gelen anormal yapıların bir araya gelmesi ile karakterize olan bir durumdur. Genellikle fiziksel anormallikler, gelişimsel gecikmeler ve organ işlev bozuklukları gibi belirtilerle kendini gösterebilir.",pediatri
open wound of the nose,7,açık burun yarası,"Burun bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
fracture of the finger,7,parmak kırığı,"Parmağın normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
epidural hemorrhage,7,epidural kanama,"Beyin zarları arasında meydana gelen kanama ile karakterize olan bir durumdur. Genellikle baş ağrısı, bulantı ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",nöroloji
fracture of the foot,7,ayak kırığı,"Ayak bölgesinin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
aphakia,7,afaki,"Gözde lensin olmaması ile karakterize olan bir durumdur. Genellikle görme kaybı, bulanık görme ve ışığa hassasiyet gibi belirtilerle kendini gösterebilir.",göz hastalıkları
fibrocystic breast disease,7,fibrokistik meme hastalığı,"Meme dokusunda meydana gelen, genellikle ağrı, şişlik ve hassasiyet gibi belirtilerle kendini gösterebilir.",genel cerrahi
breast cancer,7,meme kanseri,"Meme dokusunda meydana gelen, genellikle kitle, ağrı ve meme başında akıntı gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
valley fever,7,vadide ateş,"Coccidioides immitis mantarının neden olduğu, genellikle ateş, öksürük ve kas ağrıları gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
vacterl syndrome,6,vacterl sendromu,"VACTERL sendromu, doğuştan gelen anormalliklerin bir araya gelmesi ile karakterize olan bir durumdur. Genellikle fiziksel anormallikler, gelişimsel gecikmeler ve organ işlev bozuklukları gibi belirtilerle kendini gösterebilir.",pediatri
poisoning due to antipsychotics,6,antipsikotik zehirlenmesi,"Antipsikotik ilaçların aşırı dozda alınması ile karakterize olan bir durumdur. Genellikle baş dönmesi, yorgunluk ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",psikiyatri
hypercholesterolemia,6,hiperkolesterolemi,"Kandaki kolesterol seviyesinin normalin üstünde olması anlamına gelmektedir. Normal kandaki toplam kolesterol değeri 125-200 mg/dl aralığındadır.",dah
insulin overdose,6,insülin aşırı dozu,"İnsülinin aşırı dozda alınması ile karakterize olan bir durumdur. Genellikle baş dönmesi, yorgunluk ve bilinç kaybı gibi belirtilerle kendini gösterebilir.",dahiliye
syringomyelia,6,siringomiyeliya,"Omurilikte sıvı dolu kistlerin oluşması ile karakterize olan bir durumdur. Genellikle ağrı, kas zayıflığı ve his kaybı gibi belirtilerle kendini gösterebilir.",nöroloji
tuberous sclerosis,6,tüberoz skleroz,"Genetik bir hastalık olan tüberoz skleroz, ciltte ve iç organlarda tümörlerin oluşmasına neden olur. Genellikle ciltte lezyonlar, nöbetler ve zihinsel gerilik gibi belirtilerle kendini gösterebilir.",nöroloji
diabetes insipidus,6,diabetes insipidus,"Vücudun su dengesini düzenleyen hormonların eksikliği ile karakterize olan bir durumdur. Genellikle aşırı susama, sık idrara çıkma ve dehidrasyon gibi belirtilerle kendini gösterebilir.",endokrinoloji
thyroid cancer,6,tiroid kanseri,"Tiroid bezinde meydana gelen, genellikle boyunda kitle, yutma zorluğu ve ses kısıklığı gibi belirtilerle kendini gösterebilir.",endokrinoloji
zenker diverticulum,6,zenker divertikülü,"Yemek borusunda meydana gelen, genellikle yutma zorluğu, ağızda kötü tat ve boğazda kitle hissi gibi belirtilerle kendini gösterebilir.",gastroenteroloji
tricuspid valve disease,6,triküspit kapak hastalığı,"Kalbin triküspit kapakçığında meydana gelen, genellikle nefes darlığı, çarpıntı ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",kardiyoloji
frostbite,6,donma,"Vücut dokularının aşırı soğuk nedeniyle hasar görmesi ile karakterize olan bir durumdur. Genellikle ciltte beyazlaşma, ağrı ve his kaybı gibi belirtilerle kendini gösterebilir.",acil tıp
leukemia,6,lösemi,"Kan kanseridir. Genellikle yorgunluk, solukluk ve enfeksiyonlara yatkınlık gibi belirtilerle kendini gösterebilir.",hematoloji
trichinosis,5,trikinelloz,"Trichinella spiralis parazitinin neden olduğu, genellikle kas ağrısı, ateş ve mide bulantısı gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
cryptorchidism,5,kriptorkizm,"Testislerin normal yerinde olmaması ile karakterize olan bir durumdur. Genellikle testislerde ağrı, şişlik ve kısırlık gibi belirtilerle kendini gösterebilir.",üroloji
dislocation of the hip,5,kalça çıkığı,"Kalçanın normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
open wound of the back,5,açık sırt yarası,"Sırt bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
injury to the finger,5,parmak yaralanması,"Parmağın normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
testicular cancer,5,testis kanseri,"Testis dokusunda meydana gelen, genellikle kitle, ağrı ve şişlik gibi belirtilerle kendini gösterebilir.",üroloji
fetal alcohol syndrome,5,fetil alkol sendromu,"Alkolün fetüs üzerindeki etkileri ile karakterize olan bir durumdur. Genellikle yüz deformiteleri, büyüme geriliği ve zihinsel gerilik gibi belirtilerle kendini gösterebilir.",pediatri
premature rupture of amniotic membrane,5,amniyon zarının erken yırtılması,"Amniyon zarının doğumdan önce yırtılması ile karakterize olan bir durumdur. Genellikle sıvı kaybı, enfeksiyon ve erken doğum gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
pelvic fistula,5,pelvik fistül,"Pelvik bölgede meydana gelen anormal bağlantılar ile karakterize olan bir durumdur. Genellikle idrar yolu enfeksiyonları, ağrı ve kanama gibi belirtilerle kendini gösterebilir.",üroloji
cushing syndrome,5,cushing sendromu,"Vücutta aşırı kortizol üretimi ile karakterize olan bir durumdur. Genellikle kilo alımı, ciltte morarma ve yüksek tansiyon gibi belirtilerle kendini gösterebilir.",endokrinoloji
priapism,5,priapizm,"Peniste uzun süreli ereksiyon ile karakterize olan bir durumdur. Genellikle ağrı, şişlik ve cinsel işlev bozuklukları gibi belirtilerle kendini gösterebilir.",üroloji
avascular necrosis,5,avasküler nekroz,"Kemik dokusunun kan akışının azalması ile karakterize olan bir durumdur. Genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
blepharospasm,5,blefarospazm,"Göz kapaklarının istemsiz kasılması ile karakterize olan bir durumdur. Genellikle gözlerde ağrı, sulanma ve ışığa hassasiyet gibi belirtilerle kendini gösterebilir.",göz hastalıkları
friedrich ataxia,5,friedrich ataksisi,"Genetik bir hastalık olan friedrich ataksisi, genellikle denge kaybı, koordinasyon bozuklukları ve konuşma güçlükleri gibi belirtilerle kendini gösterebilir.",nöroloji
omphalitis,5,omfalit,"Göbek kordonunun iltihaplanması ile karakterize olan bir durumdur. Genellikle kızarıklık, şişlik ve akıntı gibi belirtilerle kendini gösterebilir.",pediatri
optic neuritis,4,optik nörit,"Göz sinirinin iltihaplanması ile karakterize olan bir durumdur. Genellikle görme kaybı, ağrı ve renk algısında bozukluk gibi belirtilerle kendini gösterebilir.",göz hastalıkları
meckel diverticulum,4,meckel divertikülü,"İnce bağırsakta meydana gelen, genellikle karın ağrısı, bulantı ve kusma gibi belirtilerle kendini gösterebilir.",gastroenteroloji
open wound of the shoulder,4,açık omuz yarası,"Omuz bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
g6pd enzyme deficiency,4,g6pd enzim eksikliği,"Glukoz-6-fosfat dehidrogenaz eksikliği, kırmızı kan hücrelerinin normalden daha kolay parçalanmasına neden olan genetik bir hastalıktır. Genellikle yorgunluk, sarılık ve idrarda kan gibi belirtilerle kendini gösterebilir.",hematoloji
dengue fever,4,deng humması,"Dengue virüsünün neden olduğu, genellikle ateş, baş ağrısı ve kas ağrıları gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
vulvar cancer,4,vulva kanseri,"Vulva dokusunda meydana gelen, genellikle kaşıntı, ağrı ve anormal kanama gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
open wound from surgical incision,4,açık cerrahi insizyon yarası,"Cerrahi müdahale sonrası meydana gelen yaralanmalardır. Genellikle ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
spherocytosis,4,sferositoz,"Kırmızı kan hücrelerinin normalden daha yuvarlak olması ile karakterize olan bir durumdur. Genellikle yorgunluk, sarılık ve dalak büyümesi gibi belirtilerle kendini gösterebilir.",hematoloji
hypertrophic obstructive cardiomyopathy (hocm),4,hipertrofik obstrüktif kardiyomiyopati,"Kalp kasının kalınlaşması ile karakterize olan bir durumdur. Genellikle nefes darlığı, göğüs ağrısı ve çarpıntı gibi belirtilerle kendini gösterebilir.",kardiyoloji
von willebrand disease,4,von willebrand hastalığı,"Kan pıhtılaşma faktörlerinin eksikliği ile karakterize olan genetik bir hastalıktır. Genellikle kanama, morarma ve burun kanamaları gibi belirtilerle kendini gösterebilir.",hematoloji
connective tissue disorder,4,bağ dokusu hastalığı,"Bağ dokularının anormal gelişimi ile karakterize olan bir durumdur. Genellikle eklem ağrısı, ciltte lezyonlar ve iç organlarda hasar gibi belirtilerle kendini gösterebilir.",romatoloji
vitamin a deficiency,4,a vitamini eksikliği,"Vücutta A vitamini eksikliğine bağlı olarak meydana gelen, genellikle gece körlüğü, cilt kuruluğu ve bağışıklık sistemi zayıflığı gibi belirtilerle kendini gösterebilir.",dahiliye
obesity,3,obezite,"Vücutta aşırı yağ birikimi ile karakterize olan bir durumdur. Genellikle kilo artışı, nefes darlığı ve eklem ağrıları gibi belirtilerle kendini gösterebilir.",dahiliye
edward syndrome,3,edward sendromu,"Trizomi 18 olarak da bilinen edward sendromu, genellikle fiziksel anormallikler, gelişimsel gecikmeler ve organ işlev bozuklukları gibi belirtilerle kendini gösterebilir.",pediatri
esophageal varices,3,özofagus varisleri,"Özofagus damarlarının genişlemesi ile karakterize olan bir durumdur. Genellikle kanama, yutma zorluğu ve göğüs ağrısı gibi belirtilerle kendini gösterebilir.",gastroenteroloji
histoplasmosis,3,histoplazmoz,"Histoplasma capsulatum mantarının neden olduğu, genellikle ateş, öksürük ve nefes darlığı gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
syndrome of inappropriate secretion of adh (siadh),3,siadh sendromu,"Vücudun aşırı miktarda antidiüretik hormon (ADH) üretmesi ile karakterize olan bir durumdur. Genellikle aşırı su tutulumu, baş ağrısı ve bulantı gibi belirtilerle kendini gösterebilir.",endokrinoloji
oral leukoplakia,3,ağızda lökoplaki,"Ağız içinde beyaz lezyonların oluşması ile karakterize olan bir durumdur. Genellikle ağrı, yanma ve yutma zorluğu gibi belirtilerle kendini gösterebilir.",diş hekimliği
open wound of the abdomen,3,açık karın yarası,"Karın bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
sporotrichosis,3,sporotrikoz,"Sporothrix schenckii mantarının neden olduğu, genellikle ciltte lezyonlar, ateş ve lenf bezlerinde şişlik gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
amyloidosis,3,amiloidoz,"Vücutta anormal protein birikimi ile karakterize olan bir durumdur. Genellikle yorgunluk, kilo kaybı ve organ işlev bozuklukları gibi belirtilerle kendini gösterebilir.",dahiliye
uterine cancer,3,rahim kanseri,"Rahim dokusunda meydana gelen, genellikle anormal kanama, pelvik ağrı ve kilo kaybı gibi belirtilerle kendini gösterebilir.",kadın hastalıkları ve doğum
scurvy,3,skorbüt,"C vitamini eksikliğine bağlı olarak meydana gelen, genellikle diş eti kanamaları, yorgunluk ve ciltte morarma gibi belirtilerle kendini gösterebilir.",dahiliye
human immunodeficiency virus infection (hiv),3,hiv enfeksiyonu,"İnsan bağışıklık yetmezliği virüsünün (HIV) neden olduğu, genellikle ateş, kilo kaybı ve lenf bezlerinde şişlik gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
pinguecula,3,pingüekula,"Gözün beyaz kısmında meydana gelen, genellikle gözde kızarıklık, sulanma ve yabancı cisim hissi gibi belirtilerle kendini gösterebilir.",göz hastalıkları
adrenal cancer,3,adrenal kanseri,"Böbrek üstü bezinde meydana gelen, genellikle karın ağrısı, kilo kaybı ve yüksek tansiyon gibi belirtilerle kendini gösterebilir.",endokrinoloji
necrotizing fasciitis,2,nekrotizan fasiit,"Cilt altındaki dokuların iltihaplanması ile karakterize olan bir durumdur. Genellikle ağrı, kızarıklık ve şişlik gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
open wound of the cheek,2,açık yanak yarası,"Yanak bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
hashimoto thyroiditis,2,hashimoto tiroiditi,"Tiroid bezinin iltihaplanması ile karakterize olan bir durumdur. Genellikle yorgunluk, kilo alımı ve soğuk intoleransı gibi belirtilerle kendini gösterebilir.",endokrinoloji
hyperosmotic hyperketotic state,2,hiperosmotik hiperketotik durum,"Vücutta aşırı miktarda keton ve glukoz birikimi ile karakterize olan bir durumdur. Genellikle aşırı susama, sık idrara çıkma ve yorgunluk gibi belirtilerle kendini gösterebilir.",dahiliye
lymphangitis,2,lenfanjit,"Lenf damarlarının iltihaplanması ile karakterize olan bir durumdur. Genellikle ateş, ağrı ve şişlik gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
primary thrombocythemia,2,primer trombositemi,"Kandaki trombosit sayısının normalden yüksek olması ile karakterize olan bir durumdur. Genellikle baş ağrısı, kanama ve ciltte kızarıklık gibi belirtilerle kendini gösterebilir.",hematoloji
cat scratch disease,2,kedi tırmığı hastalığı,"Bartonella henselae bakterisinin neden olduğu, genellikle ateş, lenf bezlerinde şişlik ve ciltte lezyonlar gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
dumping syndrome,2,dumping sendromu,"Mide içeriğinin ince bağırsağa hızlı bir şekilde geçmesi ile karakterize olan bir durumdur. Genellikle bulantı, kusma ve karın ağrısı gibi belirtilerle kendini gösterebilir.",gastroenteroloji
kaposi sarcoma,2,kaposi sarkomu,"Kaposi sarkomu, ciltte ve iç organlarda anormal kan damarlarının oluşması ile karakterize olan bir durumdur. Genellikle ciltte lezyonlar, ağrı ve şişlik gibi belirtilerle kendini gösterebilir.",onkoloji
intussusception,2,intususepsiyon,"Bağırsakların kendi etrafında dönmesi ile karakterize olan bir durumdur. Genellikle karın ağrısı, bulantı ve kusma gibi belirtilerle kendini gösterebilir.",gastroenteroloji
hyperlipidemia,2,hiperlipidemi,"Kandaki yağ seviyesinin normalin üstünde olması anlamına gelmektedir. Genellikle yorgunluk, kilo kaybı ve karın ağrısı gibi belirtilerle kendini gösterebilir.",dahiliye
open wound of the hand,2,açık el yarası,"El bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
open wound of the finger,2,"açık parmak yarası,"Parmak bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
open wound of the head,1,açık baş yarası,"Baş bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
open wound of the face,1,"açık yüz yarası,"Yüz bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
foreign body in the nose,1,yüzde yabancı cisim,"Burun bölgesinde meydana gelen yaralanmalardır. Genellikle travma, darbe veya kazalar sonucu ortaya çıkar ve ağrı, şişlik ve enfeksiyon gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
gas gangrene,1,gazlı gangren,"Bakteriyel enfeksiyon sonucu meydana gelen, genellikle ağrı, şişlik ve ciltte lezyonlar gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
diabetes,1,diyabet,"Vücudun insülin üretiminde veya kullanımında sorun yaşaması ile karakterize olan bir durumdur. Genellikle aşırı susama, sık idrara çıkma ve yorgunluk gibi belirtilerle kendini gösterebilir.",endokrinoloji
chronic ulcer,1,kronik ülser,"Uzun süreli yaraların iyileşmemesi ile karakterize olan bir durumdur. Genellikle ağrı, kızarıklık ve enfeksiyon gibi belirtilerle kendini gösterebilir.",genel cerrahi
high blood pressure,1,yüksek tansiyon,"Kan basıncının normalden yüksek olması ile karakterize olan bir durumdur. Genellikle baş ağrısı, burun kanamaları ve yorgunluk gibi belirtilerle kendini gösterebilir.",dahiliye
hemochromatosis,1,hemokromatoz,"Vücutta aşırı demir birikimi ile karakterize olan bir durumdur. Genellikle yorgunluk, eklem ağrıları ve ciltte bronzlaşma gibi belirtilerle kendini gösterebilir.",dahiliye
typhoid fever,1,tifo,"Salmonella typhi bakterisinin neden olduğu, genellikle ateş, karın ağrısı ve ishal gibi belirtilerle kendini gösterebilir.",enfeksiyon hastalıkları
dislocation of the knee,1,diz çıkığı,"Dizin normalden farklı çalışması sonucu meydana gelen, genellikle ağrı, şişlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterebilir.",ortopedi ve travmatoloji
